"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","Fri Mar 27 13:32:39 UTC 2026","passed","Fri Mar 27 13:32:39 UTC 2026","","test_markers","",""
"","1795","User login with wrong email or password","LMS system","Fri Mar 27 13:32:26 UTC 2026","passed","Fri Mar 27 13:32:28 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Fri Mar 27 13:32:39 UTC 2026","passed","Fri Mar 27 13:32:39 UTC 2026","","test_markers","",""
"","1441","Check displaying of empty courses list","LMS system","Fri Mar 27 13:32:34 UTC 2026","passed","Fri Mar 27 13:32:36 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Fri Mar 27 13:32:40 UTC 2026","passed","Fri Mar 27 13:32:40 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Fri Mar 27 13:32:39 UTC 2026","passed","Fri Mar 27 13:32:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","1704","Registration with correct email, username, password","LMS system","Fri Mar 27 13:32:29 UTC 2026","passed","Fri Mar 27 13:32:31 UTC 2026","Registration","Authentication","",""
"","2035","User login with wrong email or password","LMS system","Fri Mar 27 13:32:23 UTC 2026","passed","Fri Mar 27 13:32:25 UTC 2026","Authorization","Authentication","",""
"","2837","test_edit_course[chromium]","LMS system","Fri Mar 27 13:32:36 UTC 2026","passed","Fri Mar 27 13:32:39 UTC 2026","Courses","Courses","",""
"","1578","User login with wrong email or password","LMS system","Fri Mar 27 13:32:27 UTC 2026","passed","Fri Mar 27 13:32:29 UTC 2026","Authorization","Authentication","",""
"","2268","Create course","LMS system","Fri Mar 27 13:32:35 UTC 2026","passed","Fri Mar 27 13:32:38 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Fri Mar 27 13:32:39 UTC 2026","passed","Fri Mar 27 13:32:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","3241","User login with correct email and password","LMS system","Fri Mar 27 13:32:23 UTC 2026","passed","Fri Mar 27 13:32:27 UTC 2026","Authorization","Authentication","",""
"","1463","Navigation from login page to registration page","LMS system","Fri Mar 27 13:32:28 UTC 2026","passed","Fri Mar 27 13:32:30 UTC 2026","Authorization","Authentication","",""
"","1779","Check displaying of dashboard page","LMS system","Fri Mar 27 13:32:38 UTC 2026","passed","Fri Mar 27 13:32:40 UTC 2026","Dashboard","Dashboard","",""
