"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","Registration with correct email, username, password","LMS system","Fri Mar 27 12:15:59 UTC 2026","passed","Fri Mar 27 12:16:01 UTC 2026","Registration","Authentication","",""
"","2691","Create course","LMS system","Fri Mar 27 12:16:06 UTC 2026","passed","Fri Mar 27 12:16:08 UTC 2026","Courses","Courses","",""
"","1539","Check displaying of empty courses list","LMS system","Fri Mar 27 12:16:04 UTC 2026","passed","Fri Mar 27 12:16:06 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Fri Mar 27 12:16:10 UTC 2026","passed","Fri Mar 27 12:16:10 UTC 2026","TestUserAuthentication","test_markers","",""
"","2170","User login with wrong email or password","LMS system","Fri Mar 27 12:15:53 UTC 2026","passed","Fri Mar 27 12:15:55 UTC 2026","Authorization","Authentication","",""
"","1736","User login with wrong email or password","LMS system","Fri Mar 27 12:15:57 UTC 2026","passed","Fri Mar 27 12:15:59 UTC 2026","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","Fri Mar 27 12:16:10 UTC 2026","passed","Fri Mar 27 12:16:10 UTC 2026","TestUserAuthentication","test_markers","",""
"","3469","User login with correct email and password","LMS system","Fri Mar 27 12:15:53 UTC 2026","passed","Fri Mar 27 12:15:56 UTC 2026","Authorization","Authentication","",""
"","3248","test_edit_course[chromium]","LMS system","Fri Mar 27 12:16:06 UTC 2026","passed","Fri Mar 27 12:16:10 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Fri Mar 27 12:16:10 UTC 2026","passed","Fri Mar 27 12:16:10 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Fri Mar 27 12:16:11 UTC 2026","passed","Fri Mar 27 12:16:11 UTC 2026","TestUserAuthentication","test_markers","",""
"","1975","User login with wrong email or password","LMS system","Fri Mar 27 12:15:56 UTC 2026","passed","Fri Mar 27 12:15:58 UTC 2026","Authorization","Authentication","",""
"","1607","Navigation from login page to registration page","LMS system","Fri Mar 27 12:15:58 UTC 2026","passed","Fri Mar 27 12:16:00 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Fri Mar 27 12:16:10 UTC 2026","passed","Fri Mar 27 12:16:10 UTC 2026","","test_markers","",""
"","1946","Check displaying of dashboard page","LMS system","Fri Mar 27 12:16:09 UTC 2026","passed","Fri Mar 27 12:16:11 UTC 2026","Dashboard","Dashboard","",""
