"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1691","User login with wrong email or password","LMS system","Fri Mar 27 12:18:54 UTC 2026","passed","Fri Mar 27 12:18:56 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Fri Mar 27 12:19:07 UTC 2026","passed","Fri Mar 27 12:19:07 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Fri Mar 27 12:19:07 UTC 2026","passed","Fri Mar 27 12:19:07 UTC 2026","TestUserAuthentication","test_markers","",""
"","1833","Check displaying of dashboard page","LMS system","Fri Mar 27 12:19:06 UTC 2026","passed","Fri Mar 27 12:19:08 UTC 2026","Dashboard","Dashboard","",""
"","1619","Navigation from login page to registration page","LMS system","Fri Mar 27 12:18:55 UTC 2026","passed","Fri Mar 27 12:18:57 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Fri Mar 27 12:19:07 UTC 2026","passed","Fri Mar 27 12:19:07 UTC 2026","","test_markers","",""
"","0","test_critical_login","tests.pytest","Fri Mar 27 12:19:07 UTC 2026","passed","Fri Mar 27 12:19:07 UTC 2026","","test_markers","",""
"","1939","User login with wrong email or password","LMS system","Fri Mar 27 12:18:53 UTC 2026","passed","Fri Mar 27 12:18:55 UTC 2026","Authorization","Authentication","",""
"","3348","User login with correct email and password","LMS system","Fri Mar 27 12:18:50 UTC 2026","passed","Fri Mar 27 12:18:53 UTC 2026","Authorization","Authentication","",""
"","3008","test_edit_course[chromium]","LMS system","Fri Mar 27 12:19:04 UTC 2026","passed","Fri Mar 27 12:19:07 UTC 2026","Courses","Courses","",""
"","1589","Check displaying of empty courses list","LMS system","Fri Mar 27 12:19:02 UTC 2026","passed","Fri Mar 27 12:19:03 UTC 2026","Courses","Courses","",""
"","2563","Create course","LMS system","Fri Mar 27 12:19:03 UTC 2026","passed","Fri Mar 27 12:19:06 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Fri Mar 27 12:19:08 UTC 2026","passed","Fri Mar 27 12:19:08 UTC 2026","TestUserAuthentication","test_markers","",""
"","2237","Registration with correct email, username, password","LMS system","Fri Mar 27 12:18:56 UTC 2026","passed","Fri Mar 27 12:18:58 UTC 2026","Registration","Authentication","",""
"","2121","User login with wrong email or password","LMS system","Fri Mar 27 12:18:50 UTC 2026","passed","Fri Mar 27 12:18:52 UTC 2026","Authorization","Authentication","",""
