"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Fri Mar 27 15:23:54 UTC 2026","passed","Fri Mar 27 15:23:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","2968","test_edit_course[chromium]","LMS system","Fri Mar 27 15:23:50 UTC 2026","passed","Fri Mar 27 15:23:53 UTC 2026","Courses","Courses","",""
"","3098","User login with wrong email or password","LMS system","Fri Mar 27 15:23:36 UTC 2026","passed","Fri Mar 27 15:23:39 UTC 2026","Authorization","Authentication","",""
"","1465","Navigation from login page to registration page","LMS system","Fri Mar 27 15:23:42 UTC 2026","passed","Fri Mar 27 15:23:43 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Fri Mar 27 15:23:53 UTC 2026","passed","Fri Mar 27 15:23:53 UTC 2026","","test_markers","",""
"","1805","User login with wrong email or password","LMS system","Fri Mar 27 15:23:39 UTC 2026","passed","Fri Mar 27 15:23:41 UTC 2026","Authorization","Authentication","",""
"","4476","User login with correct email and password","LMS system","Fri Mar 27 15:23:36 UTC 2026","passed","Fri Mar 27 15:23:40 UTC 2026","Authorization","Authentication","",""
"","1725","Registration with correct email, username, password","LMS system","Fri Mar 27 15:23:43 UTC 2026","passed","Fri Mar 27 15:23:45 UTC 2026","Registration","Authentication","",""
"","1523","Check displaying of empty courses list","LMS system","Fri Mar 27 15:23:48 UTC 2026","passed","Fri Mar 27 15:23:49 UTC 2026","Courses","Courses","",""
"","2339","Create course","LMS system","Fri Mar 27 15:23:49 UTC 2026","passed","Fri Mar 27 15:23:51 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Fri Mar 27 15:23:53 UTC 2026","passed","Fri Mar 27 15:23:53 UTC 2026","","test_markers","",""
"","1861","Check displaying of dashboard page","LMS system","Fri Mar 27 15:23:52 UTC 2026","passed","Fri Mar 27 15:23:54 UTC 2026","Dashboard","Dashboard","",""
"","1707","User login with wrong email or password","LMS system","Fri Mar 27 15:23:41 UTC 2026","passed","Fri Mar 27 15:23:43 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Fri Mar 27 15:23:53 UTC 2026","passed","Fri Mar 27 15:23:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Fri Mar 27 15:23:53 UTC 2026","passed","Fri Mar 27 15:23:53 UTC 2026","TestUserAuthentication","test_markers","",""
