"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1919","Check displaying of dashboard page","LMS system","Fri Apr 03 16:35:43 UTC 2026","passed","Fri Apr 03 16:35:45 UTC 2026","Dashboard","Dashboard","",""
"","2087","User login with wrong email or password","LMS system","Fri Apr 03 16:35:27 UTC 2026","passed","Fri Apr 03 16:35:29 UTC 2026","Authorization","Authentication","",""
"","1835","Registration with correct email, username, password","LMS system","Fri Apr 03 16:35:33 UTC 2026","passed","Fri Apr 03 16:35:35 UTC 2026","Registration","Authentication","",""
"","1591","Check displaying of empty courses list","LMS system","Fri Apr 03 16:35:38 UTC 2026","passed","Fri Apr 03 16:35:40 UTC 2026","Courses","Courses","",""
"","1999","User login with wrong email or password","LMS system","Fri Apr 03 16:35:30 UTC 2026","passed","Fri Apr 03 16:35:32 UTC 2026","Authorization","Authentication","",""
"","2523","Create course","LMS system","Fri Apr 03 16:35:40 UTC 2026","passed","Fri Apr 03 16:35:42 UTC 2026","Courses","Courses","",""
"","1695","User login with wrong email or password","LMS system","Fri Apr 03 16:35:31 UTC 2026","passed","Fri Apr 03 16:35:33 UTC 2026","Authorization","Authentication","",""
"","3404","User login with correct email and password","LMS system","Fri Apr 03 16:35:27 UTC 2026","passed","Fri Apr 03 16:35:30 UTC 2026","Authorization","Authentication","",""
"","2963","test_edit_course[chromium]","LMS system","Fri Apr 03 16:35:40 UTC 2026","passed","Fri Apr 03 16:35:43 UTC 2026","Courses","Courses","",""
"","1674","Navigation from login page to registration page","LMS system","Fri Apr 03 16:35:32 UTC 2026","passed","Fri Apr 03 16:35:34 UTC 2026","Authorization","Authentication","",""
