"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1624","User login with wrong email or password","LMS system","Wed Apr 01 09:00:21 UTC 2026","passed","Wed Apr 01 09:00:23 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Wed Apr 01 09:00:34 UTC 2026","passed","Wed Apr 01 09:00:34 UTC 2026","","test_markers","",""
"","1412","Check displaying of empty courses list","LMS system","Wed Apr 01 09:00:28 UTC 2026","passed","Wed Apr 01 09:00:30 UTC 2026","Courses","Courses","",""
"","1461","Navigation from login page to registration page","LMS system","Wed Apr 01 09:00:22 UTC 2026","passed","Wed Apr 01 09:00:24 UTC 2026","Authorization","Authentication","",""
"","2366","Create course","LMS system","Wed Apr 01 09:00:30 UTC 2026","passed","Wed Apr 01 09:00:32 UTC 2026","Courses","Courses","",""
"","3323","User login with correct email and password","LMS system","Wed Apr 01 09:00:17 UTC 2026","passed","Wed Apr 01 09:00:21 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Wed Apr 01 09:00:34 UTC 2026","passed","Wed Apr 01 09:00:34 UTC 2026","TestUserAuthentication","test_markers","",""
"","2047","User login with wrong email or password","LMS system","Wed Apr 01 09:00:17 UTC 2026","passed","Wed Apr 01 09:00:19 UTC 2026","Authorization","Authentication","",""
"","1831","Check displaying of dashboard page","LMS system","Wed Apr 01 09:00:33 UTC 2026","passed","Wed Apr 01 09:00:34 UTC 2026","Dashboard","Dashboard","",""
"","0","test_logout","tests.pytest","Wed Apr 01 09:00:34 UTC 2026","passed","Wed Apr 01 09:00:34 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Wed Apr 01 09:00:34 UTC 2026","passed","Wed Apr 01 09:00:34 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Wed Apr 01 09:00:35 UTC 2026","passed","Wed Apr 01 09:00:35 UTC 2026","TestUserAuthentication","test_markers","",""
"","2925","test_edit_course[chromium]","LMS system","Wed Apr 01 09:00:30 UTC 2026","passed","Wed Apr 01 09:00:33 UTC 2026","Courses","Courses","",""
"","1947","User login with wrong email or password","LMS system","Wed Apr 01 09:00:20 UTC 2026","passed","Wed Apr 01 09:00:22 UTC 2026","Authorization","Authentication","",""
"","1710","Registration with correct email, username, password","LMS system","Wed Apr 01 09:00:23 UTC 2026","passed","Wed Apr 01 09:00:25 UTC 2026","Registration","Authentication","",""
