"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1649","User login with wrong email or password","LMS system","Fri Mar 27 13:42:00 UTC 2026","passed","Fri Mar 27 13:42:02 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Fri Mar 27 13:42:14 UTC 2026","passed","Fri Mar 27 13:42:14 UTC 2026","","test_markers","",""
"","0","test_password_reset","tests.pytest","Fri Mar 27 13:42:14 UTC 2026","passed","Fri Mar 27 13:42:14 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Fri Mar 27 13:42:14 UTC 2026","passed","Fri Mar 27 13:42:14 UTC 2026","","test_markers","",""
"","3119","User login with correct email and password","LMS system","Fri Mar 27 13:41:57 UTC 2026","passed","Fri Mar 27 13:42:00 UTC 2026","Authorization","Authentication","",""
"","1565","Check displaying of empty courses list","LMS system","Fri Mar 27 13:42:08 UTC 2026","passed","Fri Mar 27 13:42:10 UTC 2026","Courses","Courses","",""
"","0","test_login","tests.pytest","Fri Mar 27 13:42:14 UTC 2026","passed","Fri Mar 27 13:42:14 UTC 2026","TestUserAuthentication","test_markers","",""
"","1919","User login with wrong email or password","LMS system","Fri Mar 27 13:42:00 UTC 2026","passed","Fri Mar 27 13:42:02 UTC 2026","Authorization","Authentication","",""
"","1670","Navigation from login page to registration page","LMS system","Fri Mar 27 13:42:02 UTC 2026","passed","Fri Mar 27 13:42:03 UTC 2026","Authorization","Authentication","",""
"","2117","User login with wrong email or password","LMS system","Fri Mar 27 13:41:57 UTC 2026","passed","Fri Mar 27 13:41:59 UTC 2026","Authorization","Authentication","",""
"","2308","Create course","LMS system","Fri Mar 27 13:42:09 UTC 2026","passed","Fri Mar 27 13:42:11 UTC 2026","Courses","Courses","",""
"","3176","test_edit_course[chromium]","LMS system","Fri Mar 27 13:42:10 UTC 2026","passed","Fri Mar 27 13:42:13 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Fri Mar 27 13:42:14 UTC 2026","passed","Fri Mar 27 13:42:14 UTC 2026","TestUserAuthentication","test_markers","",""
"","2000","Check displaying of dashboard page","LMS system","Fri Mar 27 13:42:12 UTC 2026","passed","Fri Mar 27 13:42:14 UTC 2026","Dashboard","Dashboard","",""
"","1880","Registration with correct email, username, password","LMS system","Fri Mar 27 13:42:02 UTC 2026","passed","Fri Mar 27 13:42:04 UTC 2026","Registration","Authentication","",""
